	name	query	labels	address	postal no.	postal name	coord. x	coord. y
0	Sundby Station	Metrostationer	['Metrostationer']	Ørestads Boulevard 25	2300	København S	12.5857124	55.6451988
1	Bella Center Station	Metrostationer	['Metrostationer']	Ørestads Boulevard 39	2300	København S	12.5829163	55.6380959
2	Vestamager Station	Metrostationer	['Metrostationer']	Ørestads Boulevard 99	2300	København S	12.5756006	55.6193924
3	DR-Byen Station	Metrostationer	['Metrostationer']	Ørestads Boulevard 21	2300	København S	12.5889711	55.6559563
4	Ørestad Station	Metrostationer	['Togstationer', 'Metrostationer']	Ørestads Boulevard 89	2300	København S	12.5793886	55.6290970
5	Ørestad Station, Metro	Metrostationer	['Metrostationer']	Ørestads Boulevard 91	2300	København S	12.5789404	55.6285057
6	Gammel Strand Station	Metrostationer	['Metrostationer']	Gammel Strand 1	1202	København K	12.5795650	55.6778145
7	Frederiksberg Allé Station	Metrostationer	['Metrostationer']	Frederiksberg Alle 41B	1820	Frederiksberg C	12.5406933	55.6736794
8	Nørrebros Runddel Station	Metrostationer	['Metrostationer']	Nørrebros Runddel 1	2200	København N	12.5487995	55.6940498
9	Lindevang Station	Metrostationer	['Metrostationer']	Dalgas Boulevard 142	2000	Frederiksberg	12.5127335	55.6835289
10	Rådhuspladsen Station	Metrostationer	['Metrostationer']	Rådhuspladsen 3	1550	København V	12.5682383	55.6761093
11	Aksel Møllers Have Station	Metrostationer	['Metrostationer']	Godthåbsvej 31	2000	Frederiksberg	12.5331831	55.6863747
12	Fasanvej Station	Metrostationer	['Metrostationer']	Nordre Fasanvej 26D	2000	Frederiksberg	12.5228205	55.6815414
13	Christianshavn Station	Metrostationer	['Metrostationer']	Torvegade 44	1400	København K	12.5911236	55.6722450
14	Frederiksberg Station	Metrostationer	['Metrostationer']	Solbjergvej 2D	2000	Frederiksberg	12.5323954	55.6813087
15	Københavns Hovedbanegård Station, Metro	Metrostationer	['Metrostationer']	Stampesgade 1	1702	København V	12.5641994	55.6713371
16	Nørrebro Station, Metro	Metrostationer	['Metrostationer']	Folmer Bendtsens Plads 19	2200	København N	12.5381498	55.7005959
17	Femøren Station	Metrostationer	['Metrostationer']	Hedegaardsvej 50	2300	København S	12.6382847	55.6453438
18	Østerport Station, Metro	Metrostationer	['Metrostationer']	Oslo Plads 14	2100	København Ø	12.5859890	55.6930847
19	Poul Henningsens Plads Station	Metrostationer	['Metrostationer']	Jagtvej 227A	2100	København Ø	12.5766888	55.7092056
20	Trianglen Station	Metrostationer	['Metrostationer']	Trianglen 8	2100	København Ø	12.5761585	55.6991768
21	Skjolds Plads Station	Metrostationer	['Metrostationer']	Haraldsgade 2A	2200	København N	12.5482931	55.7032433
22	Enghave Plads Station	Metrostationer	['Metrostationer']	Enghave Plads 4A	1670	København V	12.5473309	55.6673470
23	Forum Station	Metrostationer	['Metrostationer']	Rosenørns Alle 17	1970	Frederiksberg C	12.5530424	55.6816788
24	Flintholm Station	Metrostationer	['S-togsstationer', 'Metrostationer']	Flintholm Alle 55	2000	Frederiksberg	12.4991627	55.6851768
25	Amagerbro Station	Metrostationer	['Metrostationer']	Amagerbro Torv 1	2300	København S	12.6027012	55.6635437
26	Øresund Station	Metrostationer	['Metrostationer']	Øresundsvej 146	2300	København S	12.6287146	55.6614418
27	Kongens Nytorv Station	Metrostationer	['Metrostationer']	Kongens Nytorv 21E	1050	København K	12.5848999	55.6801224
28	Marmorkirken Station	Metrostationer	['Metrostationer']	Store Kongensgade 84B	1264	København K	12.5887051	55.6852608
29	Islands Brygge Station	Metrostationer	['Metrostationer']	Njalsgade 70	2300	København S	12.5852613	55.6635475
30	Nørreport Station, Metro	Metrostationer	['Togstationer', 'Metrostationer']	Frederiksborggade 13	1360	København K	12.5715685	55.6836586
31	Kastrup Station	Metrostationer	['Metrostationer']	Ved Stationen 1	2770	Kastrup	12.6469202	55.6357384
32	Lufthavnen Station	Metrostationer	['Metrostationer']	Ellehammersvej 22	2770	Kastrup	12.6498823	55.6301422
33	Vibenshus Runddel Station	Metrostationer	['Metrostationer']	Jagtvej 180	2100	København Ø	12.5639906	55.7063560
34	Nuuks Plads Station	Metrostationer	['Metrostationer']	Rantzausgade 75	2200	København N	12.5428810	55.6887970
35	Vanløse Station	Metrostationer	['S-togsstationer', 'Metrostationer']	Jernbane Allé 46	2720	Vanløse	12.4907398	55.6872787
36	Lergravsparken Station	Metrostationer	['Metrostationer']	Østrigsgade 61	2300	København S	12.6166735	55.6621704
37	Amager Strand Station	Metrostationer	['Metrostationer']	Italiensvej 72A	2300	København S	12.6317797	55.6562653
38	Østerbjerg Station	Togstationer	['Togstationer']	Torupvejen 75	3390	Hundested	11.9123478	55.9760971
39	Slagelse Station	Togstationer	['Togstationer']	Sdr.Stationsvej 28	4200	Slagelse	11.3481359	55.4071999
40	Kalundborg Station	Togstationer	['Togstationer']	Banegårdspladsen 2	4400	Kalundborg	11.0888433	55.6777229
41	DSB Rejser Ringsted	Togstationer	['Jernbaneselskaber', 'Togstationer']	Jernbanevej 1	4100	Ringsted	11.7864714	55.4383888
42	DSB S-Tog København - Reventlowsgade 7	Togstationer	['Togstationer', 'Passagertransport, regionaltog, fjerntog']	Reventlowsgade 7	1651	København V	12.5639992	55.6723022
